repo,pr_id,title,body,author,created_time,merged,labels
microsoft/vscode,324160,fix: prevent unbounded PersistentProtocol replay buffer,"Fixes a memory leak in `PersistentProtocol`.

### Details

`PersistentProtocol` keeps every regular message in `_outgoingUnackMsg` until the peer acknowledges it. That queue is also the replay buffer used when a connection reconnects.

When a connection is dead, congested, or stuck reconnecting, acknowledgements can stop advancing while callers continue to send messages. In that state, `_outgoingUnackMsg` keeps retaining every unacknowledged payload, including large `VSBuffer` instances, until the protocol is disposed.

### Change

The change bounds the replay buffer by both message count and retained payload bytes. It also tracks the retained bytes so timeout diagnostics can show how much payload memory is currently held by unacknowledged messages.

When either replay-buffer limit is exceeded, `PersistentProtocol` emits a dedicated `unacknowledgedMessageReplayBufferOverflow` timeout reason, clears the replay buffer, and advances the local acknowledgement state so the dropped entries are not kept alive.

For remote connections, replay-buffer overflow is treated as unrecoverable instead of reconnecting into a stream that is missing replay messages.

### Before

A dead or congested peer could stop sending acknowledgements while new messages were still appended to `_outgoingUnackMsg`. The replay buffer could then grow without a memory bound and retain all queued message payloads.

### After

The replay buffer is capped by configurable/default count and byte limits. When the cap is exceeded, the buffer is released, the timeout log includes the retained byte count, and node IPC regression tests cover both byte-limit and count-limit overflow paths.
",KevinWang-wpq,2026-07-03T06:05:32Z,False,[]
microsoft/vscode,324159,agentHost: route GitHub protected resources through a GitHub Enterprise endpoint service,"> [!WARNING]
> **Draft / WIP.** Stacked on #323828 (base will retarget to `main` once that merges). Still contains a few `[TEMP]` debugging lines (verbose CLI logging, a token capture write to `/tmp`, disabled integration id) that must be removed before review.

## What

Introduce `IAgentHostGitHubEndpointService` / `AgentHostGitHubEndpointService` as a single source of truth for GitHub (Enterprise) endpoints and their protected resources, so the agent host can target a configured GitHub Enterprise host instead of hardcoded `github.com` constants.

## Changes

- Add `githubEndpoints.ts` (endpoint/resource derivation) and the endpoint service, exposed off `AgentService` via `gitHubEndpointService`.
- Copilot, Claude, and Codex agents resolve their Copilot/repo protected resources via `getCopilotResource()` / `getRepoResource()` rather than the `GITHUB_*_PROTECTED_RESOURCE` constants.
- Order `CopilotApiService` and the proxies that consume it after the endpoint service is registered (`agentHostMain` mirrors `agentHostServerMain`) so CAPI endpoint discovery can target a GHE host.
- `CopilotAgent` sets `COPILOT_GH_HOST` for the CLI and restarts the client when the enterprise host changes; `AgentService` emits `auth/required` on GHE URI change so clients re-authenticate against the new resource.
- Add unit tests + a `testGitHubEndpointService` helper.

## Notes

- `npm run typecheck-client` currently reports two `TS6133` unused-symbol errors (`COPILOT_INTEGRATION_ID`, `copilotCliLogLevelFor`) caused by the `[TEMP]` lines above; both go away when those debug edits are reverted.",TylerLeonhardt,2026-07-03T05:53:36Z,False,[]
microsoft/vscode,324157,Fix tool selection in Local harness,"Fixes #324006
Fixes #323834
Fixes #323758
",dmitrivMS,2026-07-03T05:11:28Z,True,"['regression', 'chat-tools', 'chat-toolsets']"
microsoft/vscode,324144,Prompt update for gpt-5.6,,dileepyavan,2026-07-03T02:44:32Z,True,[]
microsoft/vscode,324143,"Fixed ""Overview"" highlight and tab navigation in ""Agent Customizations for Local"".",Fixes #324142,yulia-vasyura,2026-07-03T02:20:47Z,False,[]
microsoft/vscode,324140,fix mismatched spinners in chat,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->

fix https://github.com/microsoft/vscode/issues/324139",justschen,2026-07-03T01:53:16Z,True,[]
microsoft/vscode,324135,Update distro commit (main),"Automated PR to update the `distro` commit in `package.json` to the HEAD of the `main` branch in [vscode-distro](https://github.com/microsoft/vscode-distro).

_Created automatically by the distro mismatch check._",vs-code-engineering[bot],2026-07-03T00:36:05Z,False,[]
microsoft/vscode,324132,sessions: fix endless spinner in Changes view for non-git folders,"This PR fixes GitHub issue #324066: endless loading spinner in the Changes view when opening non-git directories.

### Root Cause Analysis
For non-git workspaces or non-git folders, `activeSessionHasGitRepositoryObs` in `ChangesViewService` evaluates to `false`. When there's no Git repository, the changeset's `isLoadingChanges` can remain stuck in a loading state if it tries to resolve refs via Git. Specifically, in `UncommittedChangesChangeset` and other git-backed changesets, `isLoadingChanges` evaluates to `true` whenever the changeset resolver returns `undefined`.

In `GitRepositoryChangesetResolver.resolve(...)`, if `repositoryUri` is not present, it returns `undefined`. Because it returns `undefined`, `changesPromiseObs.read(reader).read(reader)` remains `undefined`, which keeps the changeset's `isLoadingChanges` stuck as `true` indefinitely. This propagates up to the UI, leading to an endless spinner.

### Fix
Modify `GitRepositoryChangesetResolver.resolve(...)` to return an empty array `[]` instead of `undefined` when the repository is not available. This signals to the changeset state observable that the resolution has completed (yielding no changes) rather than indicating that it is still loading.",SparshGarg999,2026-07-03T00:21:06Z,False,[]
microsoft/vscode,324131,Prompt timeline rail for the Agents window,"## Prompt timeline

Adds a right-edge **prompt timeline** rail to the Agents window that lets users scan and jump between the prompts they have sent in a chat session — adapted from GitHub's ""jump to your messages"" affordance.

> [!NOTE]
> Draft — sharing early to keep history. Interaction/visuals are still being iterated (a ""quiet gray-dense rail + single-mark accordion on hover"" refinement is planned next).

### What's included
- **Self-contained contrib** under `src/vs/sessions/contrib/promptTimeline`, attached per-widget via `IChatWidgetContrib` (no `vs/workbench` changes, no import cycle).
- **Recency-bucketed ticks** — pure, unit-tested `budgetBucketPrompts`, capped so each tick keeps a **>=24px hit target** (WCAG 2.5.8).
- **Dense-at-rest visual** that expands on hover/focus, with green/red per-turn diff magnitude and a solid-blue active mark.
- **Interactive hover card** — prompt text, clickable `+/-` diff stats that open the per-request diff, and per-file drill-down rows.
- **Per-request diffs** via the provider-agnostic `IChatResponseFileChangesService` (agent-host server-computed turn changeset) with an editing-session fallback. Diff sides are probed with `readFile` so a missing agent-host checkpoint blob renders the file as a pure add/delete instead of crashing the multi-diff editor.
- **Keyboard-first commands** — Go to Next/Previous Prompt, Go to Prompt… (quick pick), Review Changes for Prompt — with ARIA announcements.
- **Gated** behind the new `sessions.promptTimeline.enabled` setting (experimental, default on) and `ChatContextKeys.enabled`; the rail is created/disposed reactively as the setting toggles.

### Validation
- `npm run typecheck-client` — pass
- `npm run valid-layers-check` — pass
- `eslint` on the contrib — pass
- `npm run precommit` (hygiene) — pass (only non-blocking design-token suggestions remain)
- `promptBucketing` unit tests

### Follow-ups
- Refine engaged interaction to the quiet gray-dense + single-mark accordion model.
- Apply design-token suggestions (font-size / radius / spacing) once the visual is locked.

Co-authored-by: Copilot <223556219+Copilot@users.noreply.github.com>
",osortega,2026-07-03T00:02:27Z,False,[]
microsoft/vscode,324129,"agentHost: sync .vscode/mcp.json servers, enable SDK config discovery","Refines how VS Code-configured MCP servers reach the Copilot agent host, and enables the SDK's config discovery so the host can find workspace `.mcp.json` on its own.

## Changes

- **`resolveCustomizationRefs` filtering** — When syncing customizations to the agent host, workspace-discovered MCP servers (config target `WORKSPACE` / `WORKSPACE_FOLDER`) are now excluded by default, since the agent host discovers workspace `.mcp.json` itself. The exception is `.vscode/mcp.json`, which the SDK does **not** discover: those servers are synced explicitly, but only when their config resolves **without user interaction**.
  - Resolution now uses `IConfigurationResolverService.resolveAsync` + `ConfigurationResolverExpression` instead of a naive regex. Servers that reference interactive variables (`${input:…}`, `${command:…}`) or fail to resolve (e.g. `${workspaceFolder}` with no folder) are skipped; non-interactive variables (`${workspaceFolder}`, `${env:…}`) are resolved and the server is synced with concrete values.

- **`enableConfigDiscovery: true`** on agent-host session create/resume, so the host discovers workspace `.mcp.json` itself (avoiding duplication with the sync path above).

- **Refactor** — Moved `MCP_CONFIGURATION_COLLECTION_ID_PREFIX` into `mcpTypes.ts` and added `McpCollectionDefinition.isWorkspaceDiscovered` / `isVscodeMcpJson` helpers so the collection-classification logic lives in one place.

## Notes

- The SDK's `enableConfigDiscovery` docs claim it discovers both `.mcp.json` **and** `.vscode/mcp.json`; in practice it only discovers `.mcp.json`. That's why `.vscode/mcp.json` is synced explicitly. A standalone SDK repro for the `.mcp.json`-only behavior has been captured separately for the SDK team.

## Tests

- Expanded `resolveCustomizationRefs.test.ts` (20 cases) covering: workspace `.mcp.json` exclusion, `.code-workspace` exclusion, `.vscode/mcp.json` sync of resolvable configs, exclusion of `${input:…}` servers, resolution of `${workspaceFolder}`, resolution-throws exclusion, and extension-contributed servers still syncing.
- `npm run typecheck-client` and `npm run valid-layers-check` pass.

<sub>Co-authored-by: Copilot &lt;223556219+Copilot@users.noreply.github.com&gt;</sub>
",connor4312,2026-07-02T23:44:55Z,True,[]
