repo,pr_id,title,body,author,created_time,merged,labels
apache/spark,56986,[SPARK-57161][CONNECT][SQL] Support timestamp nanos proto conversions,"### What changes were proposed in this pull request?

This PR adds Spark Connect proto conversion support for nanosecond-capable timestamp types and literals.

It wires `TimestampNTZNanosType` and `TimestampLTZNanosType` into `ConnectTypeOps`, adds conversion for the `timestamp_ntz_nanos` and `timestamp_ltz_nanos` DataType/Literal proto arms, and uses the existing `SparkDateTimeUtils` helpers for `(epochMicros, nanosWithinMicro)` conversion and precision truncation.

The PR also keeps NTZ and LTZ nanos literal compatibility distinct, maps schema-less `TimestampNanosVal` to NTZ nanos to match Catalyst literal inference, and preserves the existing timestamp nanos feature flag gate.

### Why are the changes needed?

The Connect proto definitions for nanosecond-capable timestamp types and literals already exist, but the Connect converters do not currently consume or emit them. This prevents Connect plans from round-tripping these preview timestamp nanos types and literals between proto and Catalyst.

### Does this PR introduce _any_ user-facing change?

Yes. In unreleased Spark master, when `spark.sql.timestampNanosTypes.enabled=true`, Spark Connect can convert TIMESTAMP_NTZ(p) and TIMESTAMP_LTZ(p) nanos types and literals between proto and Catalyst. When the feature flag is disabled, these conversions continue to fail with `FEATURE_NOT_ENABLED`.

### How was this patch tested?

Added regression coverage in `LiteralExpressionProtoConverterSuite` for DataType proto round-trips, literal proto/Catalyst round-trips, NTZ/LTZ compatibility checks, schema-less `TimestampNanosVal` inference, and the feature flag disabled path.

Ran locally:

```
./dev/lint-scala
./build/sbt ""connect-common/compile"" ""connect/testOnly org.apache.spark.sql.connect.planner.LiteralExpressionProtoConverterSuite""
```

### Was this patch authored or co-authored using generative AI tooling?

Generated-by: OpenAI Codex (GPT-5)",michaelmitchell-bit,2026-07-03T05:08:54Z,False,[]
apache/spark,56985,[SPARK-57923][SQL][SDP][TESTS] Add CREATE STREAMING TABLE parser test coverage,"### What changes were proposed in this pull request?
 
This PR adds parser-level test coverage for `CREATE STREAMING TABLE` clauses that were previously untested. No behavior changes — tests only.
 
 - `CreatePipelineDatasetAsSelectParserSuiteBase`: add a `CLUSTER BY` test. Because this is the shared base for the AS SELECT parser suites, it runs for both `CreateStreamingTableAsSelectParserSuite` and `CreateMaterializedViewAsSelectParserSuite`.
 - `CreateStreamingTableParserSuite` (the no-subquery `CREATE STREAMING TABLE` form): add positive tests for `CLUSTER BY`, `USING`, `DEFAULT COLLATION`, a column list, and `IF NOT EXISTS`, plus unsupported-clause error tests (column constraints, bucketing, `OPTIONS`, `LOCATION`, `STORED AS`, SerDe) mirroring the AS SELECT base suite. A local `toExpectedContext` helper is used to no-op the query-context check on the error cases.
 
### Why are the changes needed?
 While reviewing the AUTO CDC SQL work (SPARK-56249 / #56419), several `CREATE STREAMING TABLE` clauses were found to have no parser test coverage. In particular `CLUSTER BY` (liquid clustering) was untested across all three command forms, and the no-subquery `CreateStreamingTable` form only had a single `COMMENT` test. This PR closes those gaps so the parsing of these clauses is verified and protected against regressions.

### Does this PR introduce _any_ user-facing change?
No.

### How was this patch tested?
Added the tests described above. Ran the affected suites locally; all 47 tests pass: 
```
build/sbt 'sql/testOnly org.apache.spark.sql.execution.command.v2.CreateStreamingTableParserSuite org.apache.spark.sql.execution.command.v2.CreateStreamingTableAsSelectParserSuite org.apache.spark.sql.execution.command.v2.CreateMaterializedViewAsSelectParserSuite'
```
### Was this patch authored or co-authored using generative AI tooling?
Generated-by: Claude Code (Opus 4.8)
",anew,2026-07-03T03:02:39Z,False,[]
apache/spark,56984,[SPARK-57843][SS] Support nanosecond-precision event-time in streaming stateful operators,"### What changes were proposed in this pull request?

Adds nanosecond-precision event-time support to Structured Streaming stateful operators, building on SPARK-57830 (watermark) and SPARK-57829 (window/session_window).

- `dropDuplicatesWithinWatermark` (`StreamingDeduplicateWithinWatermarkExec`) now handles a nanosecond-precision event-time column correctly: `putDupInfoIntoState` type-dispatches on `TimestampLTZNanosType`/`TimestampNTZNanosType` to read `epochMicros` (instead of `getLong`-as-micros, which misreads the variable-length `TimestampNanosVal` UnsafeRow), and `WatermarkSupport.watermarkLiteral` builds a nanosecond-typed eviction literal so late-data filtering / state eviction compare correctly. The analysis-time guard SPARK-57830 added for this operator is lifted.
- Stream-stream joins with a nanosecond-precision watermark are rejected with a clear analysis error for **all** join types (the check is hoisted above the join-type dispatch so it also covers `InnerLike`), because `SymmetricHashJoinStateManager`'s event-time reads still assume microseconds. That path is a follow-up.

### Why are the changes needed?

Part of nanosecond-precision timestamp support (SPARK-56822). SPARK-57830 enabled nanosecond event-time watermarks but had to reject `dropDuplicatesWithinWatermark` (which read the event-time as micros). This makes that operator correctly support nanoseconds, and fails loud (rather than silently mis-evicting) for the not-yet-supported stream-stream join path.

### Does this PR introduce _any_ user-facing change?

Yes - `dropDuplicatesWithinWatermark` now works with a nanosecond-precision event-time column. Stream-stream joins with a nanosecond watermark raise a clear ""not yet supported"" analysis error (follow-up work).

### How was this patch tested?

`StreamingDeduplicationWithinWatermarkSuite` (nanos dedup + late-drop + eviction, plus a sub-microsecond dedup-key semantics case), `UnsupportedOperationsSuite` (nanos-watermark join rejection for inner and outer join types), and `EventTimeWatermarkSuite` (microsecond-vs-nanosecond watermark equivalence). All pass; scalastyle clean.

### Was this patch authored or co-authored using generative AI tooling?

Authored with assistance by Claude Opus 4.8.
",yadavay-amzn,2026-07-03T01:01:59Z,False,[]
apache/spark,56983,[SPARK-57921][CORE] Fix `spark.memory.offHeap.size` error message to require at least 1MiB,"### What changes were proposed in this pull request?

This PR aims to fix the error message of `Utils.checkOffHeapEnabled` to say that `spark.memory.offHeap.size` must be at least 1MiB, instead of `must be > 0`.

### Why are the changes needed?

`Utils.executorOffHeapMemorySizeAsMb` converts `spark.memory.offHeap.size` to MiB with truncation before validation. So, a positive value less than 1MiB (e.g. `500000`) is truncated to `0` and rejected with a misleading message.

```
$ bin/spark-shell -c spark.memory.offHeap.enabled=true -c spark.memory.offHeap.size=500000
...
java.lang.IllegalArgumentException: requirement failed:
spark.memory.offHeap.size must be > 0 when spark.memory.offHeap.enabled == true
```

The user set a value greater than 0, but the error still says it `must be > 0`. Since all callers of `checkOffHeapEnabled` pass MiB-based values, the effective minimum is 1MiB. The check in `MemoryManager` which validates the raw byte value is untouched because `must be > 0` is accurate there.

### Does this PR introduce _any_ user-facing change?

No, this is an error message fix.

### How was this patch tested?

Pass the CIs with the updated test case.

### Was this patch authored or co-authored using generative AI tooling?

Generated-by: Claude Fable 5",dongjoon-hyun,2026-07-02T23:47:19Z,False,[]
apache/spark,56982,[SPARK-57920][CORE][SQL][YARN] Use `Files.createTempFile` to create temporary files with owner-only permissions,"### What changes were proposed in this pull request?

This PR aims to use `java.nio.file.Files.createTempFile` instead of `java.io.File.createTempFile` in the main source code (`Utils`, `yarn.Client`, `PythonRDD`, `RowQueue`, `LogBlockWriter`, `StandaloneResourceUtils`) to create temporary files with owner-only permissions (`600`) on POSIX file systems.

### Why are the changes needed?

`File.createTempFile` creates files with umask-based default permissions (typically `644`), while `Files.createTempFile` guarantees `600`. Some of these temp files may contain sensitive data (fetched keytabs, YARN conf archives) and are not always created under a `chmod 700` directory.

### Does this PR introduce _any_ user-facing change?

No functional change. On POSIX systems, these temporary files are now created with owner-only permissions.

### How was this patch tested?

Pass the CIs.

### Was this patch authored or co-authored using generative AI tooling?

Generated-by: Claude Fable 5",dongjoon-hyun,2026-07-02T23:39:39Z,False,[]
apache/spark,56981,[SPARK-57915][SQL][TESTS] Add a TPC-DS whole-stage-codegen size benchmark,"### What changes were proposed in this pull request?

Add `WholeStageCodegenSizeBenchmark`, a planning-only benchmark that measures the size of the Java
code generated by whole-stage codegen across the TPC-DS queries. Unlike `TPCDSQueryBenchmark`, it
does not execute the queries and needs no data: it creates the TPC-DS tables empty (with SF=100 stats
injected so plan shapes are realistic), plans each query to its `executedPlan`, walks the
`WholeStageCodegenExec` subtrees via the existing `debug.codegenStringSeq`, and reports grand totals:

- source code size (chars of generated Java, summed over stages);
- max method bytecode, summed over stages, and the single max -- the metric behind the HotSpot 8KB
  JIT-compilation threshold and the 64KB method limit;
- number of generated inner classes;
- constant-pool entries (sum and max);
- total Janino compile time (ms), measured cold via `CodeGenerator.resetCompileTime()`;
- codegen fallbacks (stages whose generated code failed to compile);
- whole-stage-codegen stage count and number of queries measured.

Results are written to `sql/core/benchmarks/WholeStageCodegenSizeBenchmark-results.txt`.

### Why are the changes needed?

The umbrella [SPARK-56908](https://issues.apache.org/jira/browse/SPARK-56908) tracks changes that
reduce the size of generated whole-stage-codegen Java (smaller generated methods reduce Janino
compilation work, JIT work, and pressure against the JVM 64KB method limit / HotSpot 8KB
JIT-compilation threshold). Those changes so far have been justified with ad-hoc, out-of-tree
measurements. This adds a standard, reproducible, CI-runnable instrument so any such change has a
consistent before/after size measurement over a realistic query set.

### Does this PR introduce _any_ user-facing change?

No. This is a test-only benchmark.

### How was this patch tested?

Ran `build/sbt ""sql/Test/runMain org.apache.spark.sql.execution.benchmark.WholeStageCodegenSizeBenchmark""`
locally: it plans all TPC-DS v1.4 + v2.7 queries with no data location and prints the summary; the
committed results file was produced with `SPARK_GENERATE_BENCHMARK_FILES=1`. Codegen fallbacks are 0
on master.

### Was this patch authored or co-authored using generative AI tooling?

Generated-by: Claude Code (Opus 4.8)
",gengliangwang,2026-07-02T22:33:31Z,False,[]
apache/spark,56980,[SPARK-57911][DOCS] Upgrade sphinx version to 8.2.3,"<!--
Thanks for sending a pull request!  Here are some tips for you:
  1. If this is your first time, please read our contributor guidelines: https://spark.apache.org/contributing.html
  2. Ensure you have added or run the appropriate tests for your PR: https://spark.apache.org/developer-tools.html
  3. If the PR is unfinished, add '[WIP]' in your PR title, e.g., '[WIP][SPARK-XXXX] Your PR title ...'.
  4. Be sure to keep the PR description updated to reflect all changes.
  5. Please write your PR title to summarize what this PR proposes.
  6. If possible, provide a concise example to reproduce the issue for a faster review.
  7. If you want to add a new configuration, please read the guideline first for naming configurations in
     'core/src/main/scala/org/apache/spark/internal/config/ConfigEntry.scala'.
  8. If you want to add or modify an error type or message, please read the guideline first in
     'common/utils/src/main/resources/error/README.md'.
-->

### What changes were proposed in this pull request?
<!--
Please clarify what changes you are proposing. The purpose of this section is to outline the changes and how this PR fixes the issue. 
If possible, please consider writing useful notes for better and faster reviews in your PR. See the examples below.
  1. If you refactor some codes with changing classes, showing the class hierarchy will help reviewers.
  2. If you fix some SQL features, you can provide some references of other DBMSes.
  3. If there is design documentation, please add the link.
  4. If there is a discussion in the mailing list, please add the link.
-->

Upgrade sphinx version to 8.2.3

### Why are the changes needed?
<!--
Please clarify why the changes are needed. For instance,
  1. If you propose a new API, clarify the use case for a new API.
  2. If you fix a bug, you can clarify why it is a bug.
-->

The current 4.5.0 is too old (2022). We had to pin some extension versions to make it work. We should upgrade util tools from time to time.

### Does this PR introduce _any_ user-facing change?
<!--
Note that it means *any* user-facing change including all aspects such as new features, bug fixes, or other behavior changes. Documentation-only updates are not considered user-facing changes.

If yes, please clarify the previous behavior and the change this PR proposes - provide the console output, description and/or an example to show the behavior difference if possible.
If possible, please also clarify if this is a user-facing change compared to the released Spark versions or within the unreleased branches such as master.
If no, write 'No'.
-->

No. Sphinx is only used to generate our docs. Our users do not use it at all.

### How was this patch tested?
<!--
If tests were added, say they were added here. Please make sure to add some test cases that check the changes thoroughly including negative and positive cases if possible.
If it was tested in a way different from regular unit tests, please clarify how you tested step by step, ideally copy and paste-able, so that other reviewers can test and check, and descendants can verify in the future.
If tests were not added, please describe why they were not added and/or why it was difficult to add.
If benchmark tests were added, please run the benchmarks in GitHub Actions for the consistent environment, and the instructions could accord to: https://spark.apache.org/developer-tools.html#github-workflow-benchmarks.
-->

CI.

### Was this patch authored or co-authored using generative AI tooling?
<!--
If generative AI tooling has been used in the process of authoring this patch, please include the
phrase: 'Generated-by: ' followed by the name of the tool and its version.
If no, write 'No'.
Please refer to the [ASF Generative Tooling Guidance](https://www.apache.org/legal/generative-tooling.html) for details.
-->

No.",gaogaotiantian,2026-07-02T21:50:58Z,False,[]
apache/spark,56979,[SPARK-57910][ML][PYTHON] Make ALS reuse the shared HasIntermediateStorageLevel param,"### What changes were proposed in this pull request?

This is a follow-up of SPARK-57860 (https://github.com/apache/spark/pull/56949), as suggested by @zhengruifeng during that review: now that the shared param trait `HasIntermediateStorageLevel` exists, make `ALS` reuse it instead of declaring its own duplicate `intermediateStorageLevel` param.

- Scala: `ALSParams` now extends `HasIntermediateStorageLevel`; the locally-declared `intermediateStorageLevel` param, its getter, and its `setDefault` entry are removed (the shared trait provides all three with identical semantics: default `""MEMORY_AND_DISK""`, value cannot be `""NONE""`).
- Python: `_ALSParams` now mixes in `HasIntermediateStorageLevel` from `pyspark.ml.param.shared`; the locally-declared `Param`, its getter, and its default are removed likewise.

`ALS.setIntermediateStorageLevel` (Scala and Python) is untouched; `finalStorageLevel` stays local to ALS since it is ALS-specific.

### Why are the changes needed?

Removes a duplicated param definition. The shared trait was deliberately modeled after ALS's existing param in SPARK-57860, so ALS itself should be its first reuse besides the new adopters. One definition to maintain, guaranteed-consistent validation and default.

### Does this PR introduce _any_ user-facing change?

No behavior change. Param name, default (`""MEMORY_AND_DISK""`), validation (must be a valid `StorageLevel`, not `""NONE""`), getter, and setter are all unchanged.

The only visible difference is the param's doc string, which now uses the shared trait's wording:
- before: `StorageLevel for intermediate datasets. Cannot be 'NONE'.`
- after: `StorageLevel for intermediate datasets. Pass in a string representation of `StorageLevel`. Cannot be 'NONE'.`

### How was this patch tested?

Existing `ALSStorageSuite` already covers the param end-to-end (default level applied to intermediate RDDs, non-default level honored, `""NONE""`/invalid values rejected) and passes unchanged (all 4 `ml.recommendation` suites, 38/38). `pyspark.ml.tests.test_param` (Scala/Python param parity via `test_java_params`) passes locally.

MiMa reports two `FinalMethodProblem`s on `ALS.intermediateStorageLevel` / `ALS.getIntermediateStorageLevel`, because the members are declared `final` in the shared trait while ALS's local ones were not. Overriding a param `val` to change its semantics is not a supported usage, and the param's name, type, default and validation are unchanged, so this PR adds two narrowly-scoped `MimaExcludes` entries with an explaining comment.

### Was this patch authored or co-authored using generative AI tooling?

Cooperate with: Claude Code (Fable 5)",maoli67660,2026-07-02T21:46:46Z,False,[]
apache/spark,56978,[MINOR][UI] Encode query parameters when generating log page scripts,"### What changes were proposed in this pull request?

The log viewer pages assemble a query string from request parameters and embed it into an inline script literal. Encode that value for a JavaScript string context using the bundled commons-text StringEscapeUtils, matching the existing pattern in AllJobsPage, so the generated script stays well-formed regardless of the parameter contents. Also sanitize the parameters on the client side in log-view.js, and add a regression test.


### Why are the changes needed?

Formatting can get funky with unescaped parameters.

### Does this PR introduce _any_ user-facing change?

No

### How was this patch tested?

New test

### Was this patch authored or co-authored using generative AI tooling?

Primarily Claude 4.8",holdenk,2026-07-02T21:19:36Z,False,[]
apache/spark,56977,[SPARK-57909][SQL] Extract ColumnarToRow batch-advance machinery into a compiled helper,"### What changes were proposed in this pull request?

Every `ColumnarToRowExec` stage re-emits the same type-independent batch-advance machinery into its
generated `nextBatch` method -- release the current batch, fetch the next one from the input
iterator, bump the `numInputBatches`/`numOutputRows` metrics -- plus release lines in the
`processNext` loop epilogue.

Before -- the fetch/metrics logic is inline in `nextBatch`, and the release is a separate pair of
lines in the `processNext` loop:

```java
private void nextBatch() throws java.io.IOException {
  if (input.hasNext()) {
    batch = (ColumnarBatch) input.next();
    numInputBatches.add(1);
    numOutputRows.add(batch.numRows());
    idx = 0;
    colInstance0 = (OnHeapColumnVector) batch.column(0);   // per-column casts (schema-specific)
    ...
  }
}
// ... inside processNext()'s loop epilogue:
idx = numRows;
batch.closeIfFreeable();
batch = null;
nextBatch();
```

After -- the release/fetch/metrics move into a compiled
`ColumnarToRowExec.advanceBatch(input, current, numInputBatches, numOutputRows)` helper; the
generated `nextBatch` keeps only the per-column `ColumnVector` casts (the schema-specific part), and
the two release lines drop out of the loop epilogue since `advanceBatch` now does the release:

```java
private void nextBatch() throws java.io.IOException {
  batch = org.apache.spark.sql.execution.ColumnarToRowExec.advanceBatch(
    input, batch, numInputBatches, numOutputRows);
  if (batch != null) {
    idx = 0;
    colInstance0 = (OnHeapColumnVector) batch.column(0);   // per-column casts (schema-specific)
    ...
  }
}
// ... loop epilogue is now just:
idx = numRows;
nextBatch();
```

This is a relocation: the batch-advance logic still exists as bytecode, but in one precompiled
helper rather than re-emitted into every stage's `processNext`/`nextBatch`. Semantics are preserved
point-by-point:

- same release-before-fetch order (`closeIfFreeable` on the previous batch before fetching; no
  release on the first call when the batch is null);
- exhaustion leaves the batch null, so the processing loop exits exactly as before;
- mid-batch `shouldStop` re-entry is untouched (no advance happens on that path);
- the limit-reached cleanup block is unchanged.

Exception path: if the input iterator throws mid-advance (after the helper released the current
batch), the generated batch field briefly keeps referencing the released batch. That state is
unobservable -- the cleanup block is not in a `finally` so it is skipped on a throw, a failed task's
iterator is never pumped again, and reader-owned batches are not freeable so `closeIfFreeable`
cannot release them in the first place. This reasoning is documented in the emitter.

### Why are the changes needed?

Part of [SPARK-56908](https://issues.apache.org/jira/browse/SPARK-56908) (reduce generated Java size
in whole-stage codegen). On a TPC-DS codegen dump (150 queries, 1,572 whole-stage-codegen subtrees):
about **-2.2%** summed per-stage max method bytecode (the advance code sits in `processNext`,
typically the largest generated method, which is the metric behind the HotSpot 8KB JIT-compilation
threshold) and **-0.9%** total generated source, with every query shrinking.

### Does this PR introduce _any_ user-facing change?

No.

### How was this patch tested?

Existing tests: `WholeStageCodegenSuite`, `ParquetV1QuerySuite`, and `ParquetV2QuerySuite` exercise
execution through the parquet read paths (batch release, exhaustion, and re-entry).

### Was this patch authored or co-authored using generative AI tooling?

Generated-by: Claude Code (Opus 4.8)
",gengliangwang,2026-07-02T21:11:29Z,False,[]
