repo,pr_id,title,body,author,created_time,merged,labels
langchain-ai/langchain,38636,fix(langchain-classic): skip POSIX chmod assertion on Windows,"Fixes #38329

---

test_mset_chmod fails on Windows because the platform does not enforce Unix-style group/other permission bits. Add a sys.platform guard around the chmod assertion.",GSCSD1,2026-07-03T03:53:32Z,False,"['fix', 'langchain-classic', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38635,fix(qdrant): add missing await in async similarity_search docstring,"Fixes #37058

---

The async example in QdrantVectorStore shows ""results = vector_store.asimilarity_search(...)"" without await, which returns a coroutine instead of results. Add the missing await keyword.",GSCSD1,2026-07-03T03:52:45Z,False,"['integration', 'fix', 'qdrant', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38634,fix(core): correct typo in Visitor._validate_func operator error message,"Fixes #36701

---

The error message for disallowed operators says ""Allowed comparators are"" but it should say ""Allowed operators are"" to match the actual context. The message reads ""Received disallowed operator {func}. Allowed comparators are {self.allowed_operators}"" which is confusing — it references both operators and comparators in the same sentence.",GSCSD1,2026-07-03T03:51:32Z,False,"['core', 'fix', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38633,fix(langchain): allow double dots in file search path segments,"Fixes #38549

---

`FilesystemFileSearchMiddleware` now rejects only actual `..` path segments instead of every path string containing two dots. This keeps traversal protection intact while allowing normal directory names like `src..old`, with a regression test covering the glob search case.

I verified the changed files with `python3 -m py_compile` and reviewed the focused diff.

## Release note

`FilesystemFileSearchMiddleware` now accepts valid path segments that contain double dots while still blocking `..` traversal segments.

AI assistance was used to prepare this contribution, and the final change was reviewed before submission.
",2023Anita,2026-07-03T03:31:55Z,False,"['langchain', 'fix', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38632,test(core): remove stale passing xfail markers,"Fixes #38266

---

The two listed tests now pass on current behavior, so this removes their stale `xfail` markers and lets CI catch regressions normally. No test bodies or runtime code are changed.

I verified the targeted decorators were removed from the diff. A local targeted pytest run could not collect in my shallow sparse checkout because the package was not installed there (`ModuleNotFoundError: langchain_core`), so CI should be the source of truth for the full test run.

AI assistance was used to prepare this contribution, and the final change was reviewed before submission.
",2023Anita,2026-07-03T03:30:44Z,False,"['core', 'tests', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38631,fix(core): clarify `add_message` error docs,"Fixes #38603

---

`BaseChatMessageHistory.add_message` raised wording now matches the existing error message: subclass authors can implement either `add_message` or `add_messages`. This is a documentation-only clarification with no runtime behavior change.

Verified by reviewing the rendered diff for the single docstring update.

AI assistance was used to prepare this contribution, and the final change was reviewed before submission.
",2023Anita,2026-07-03T03:29:24Z,False,"['core', 'fix', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38628,fix: handle unhashable metadata in MultiQueryRetriever.unique_union(),"## Summary

Fix `TypeError: unhashable type: 'list'` crash in `MultiQueryRetriever.unique_union()` when documents have list or dict metadata values.

## Problem

`unique_union()` uses `tuple(sorted(doc.metadata.items()))` as a dict key for deduplication. This crashes when metadata contains unhashable types (lists, dicts, sets) — which is extremely common in practice:

```python
from langchain_core.documents import Document

docs = [
    Document(page_content=""hello"", metadata={""tags"": [""python"", ""ai""]}),
    Document(page_content=""hello"", metadata={""tags"": [""python"", ""ai""]}),
]

# Calling unique_union on these:
# TypeError: unhashable type: 'list'
```

Also crashes with nested dicts:
```python
docs = [Document(page_content=""test"", metadata={""source"": {""type"": ""api"", ""url"": ""...""}})]
# TypeError: unhashable type: 'dict'
```

## Fix

Use `json.dumps(doc.metadata, sort_keys=True, default=str)` which handles any metadata type safely while preserving correct deduplication semantics.

## Test plan

- [x] Documents with list metadata values no longer crash
- [x] Documents with nested dict metadata no longer crash
- [x] Deduplication still works correctly for identical documents
- [x] Different metadata still produces separate entries",axiom-of-choice,2026-07-02T20:20:36Z,False,"['fix', 'langchain-classic', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38625,fix(openai): prevent pydantic serializer warnings when streaming structured output,"Closes #38034

In PR #35543, `parsed` was correctly excluded from `model_dump` on the standard chat completion path to prevent Pydantic serialization warnings when using `with_structured_output`. However, this exclusion was omitted in the `_stream` and `_astream` generators, causing massive terminal spam (`UserWarning: Pydantic serializer warnings`) when users stream structured outputs.

This PR applies the identical exclusion logic (`exclude={""choices"": {""__all__"": {""delta"": {""parsed""}}}}`) to the streaming chunk `model_dump()` calls, silently resolving the serialization warnings without altering the public API.

## Release note
Fixes Pydantic serialization warnings printed to the console when streaming with `with_structured_output`.
",Kesav2k04,2026-07-02T19:53:52Z,False,"['integration', 'fix', 'openai', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38624,fix(openrouter): add close/aclose and context managers to prevent httpx client leak,"﻿## Problem

`ChatOpenRouter._build_client()` creates `httpx.Client` and `httpx.AsyncClient` instances whenever `app_url` or `app_title` are set — which they are **by default** (both default to non-None values). These HTTP clients are never closed, leaking TCP connections.

Under high concurrency or when `ChatOpenRouter` is instantiated per-request/per-session (common in agent loops), the leaked sockets accumulate in TIME_WAIT state. Eventually the host exhausts its ~28k ephemeral ports:

```
OSError: [Errno 99] Cannot assign requested address
```

Closes #38610.

## Fix

- Store the httpx clients on the instance as excluded Pydantic fields (`http_client`, `async_http_client`).
- Add `close()` to release the sync client.
- Add `aclose()` to release both clients asynchronously.
- Add sync and async context manager support (`__enter__`/`__exit__`, `__aenter__`/`__aexit__`).

**Recommended usage:**

```python
# Sync
with ChatOpenRouter(model=""anthropic/claude-3-haiku"") as llm:
    result = llm.invoke(""Hello"")

# Async
async with ChatOpenRouter(model=""anthropic/claude-3-haiku"") as llm:
    result = await llm.ainvoke(""Hello"")

# Manual
llm = ChatOpenRouter(model=""anthropic/claude-3-haiku"")
try:
    result = await llm.ainvoke(""Hello"")
finally:
    await llm.aclose()
```

## Tests

Added 6 unit tests in `TestHttpClientLifecycle`:

- `close()` calls `http_client.close()`
- `close()` is a no-op when no clients were created
- `aclose()` calls both `http_client.close()` and `async_http_client.aclose()`
- `aclose()` is a no-op when no clients were created
- Sync context manager closes `http_client` on exit
- Async context manager closes both clients on exit

All 235 unit tests pass.
",uttam12331,2026-07-02T18:32:04Z,False,"['integration', 'langchain', 'fix', 'external', 'openrouter', 'size: S', 'missing-issue-link', 'new-contributor']"
langchain-ai/langchain,38623,fix(agents): allow directory names containing '..' in FilesystemFileSearchMiddleware,"﻿## Problem

`FilesystemFileSearchMiddleware._validate_and_resolve_path` rejects any path whose string contains `..`, including **valid directory names** like `src..old`, `v1..backup`, or `notes..archived` (issue #38549).

```python
# Before fix: this returns ""No files found"" even though the directory exists
middleware.glob_search.func(pattern=""*.py"", path=""/src..old"")
```

## Root cause

Line 274 used `"".."" in path` (substring check on the full path string):

```python
if "".."" in path or ""~"" in path:
    raise ValueError(""Path traversal not allowed"")
```

This rejects `""/src..old""` because the string `..` appears in `src..old`.

## Fix

Check individual path components instead: reject only components that are **exactly** `""..""`.

```python
if ""~"" in path or any(part == "".."" for part in Path(path).parts):
    raise ValueError(""Path traversal not allowed"")
```

The `_is_within_root` containment check and the `_validate_and_resolve_path` root guard remain as independent defenses against actual traversal.

## Tests

Added 3 regression tests to `TestPathTraversalSecurity`:

- `test_directory_name_with_double_dots_is_allowed` — glob finds files under `src..old/`
- `test_grep_directory_name_with_double_dots_is_allowed` — grep finds content under `v1..backup/`
- `test_real_traversal_still_blocked_after_fix` — actual `/../` traversal is still rejected

All 3 new tests pass. The 3 pre-existing failures in the suite are unrelated Windows path-separator issues present before this change.

Closes #38549.
",uttam12331,2026-07-02T18:23:44Z,False,"['langchain', 'fix', 'external', 'size: XS', 'missing-issue-link', 'new-contributor']"
