repo,pr_id,ast_node_count,cfg_node_count,ast_density,cfg_density
microsoft/vscode,324160,235,189,1.4329268292682926,1.1524390243902438
microsoft/vscode,324157,71,60,1.2241379310344827,1.0344827586206897
microsoft/vscode,324143,59,47,1.5526315789473684,1.236842105263158
microsoft/vscode,324135,1,1,1.0,1.0
microsoft/vscode,324132,3,2,3.0,2.0
microsoft/vscode,324128,5,5,1.0,1.0
microsoft/vscode,324127,372,305,1.4761904761904763,1.2103174603174602
microsoft/vscode,324124,153,114,1.9367088607594938,1.4430379746835442
microsoft/vscode,324118,207,159,1.725,1.325
microsoft/vscode,324117,150,128,1.271186440677966,1.0847457627118644
microsoft/vscode,324116,333,248,1.6485148514851484,1.2277227722772277
microsoft/vscode,324114,0,0,0.0,0.0
microsoft/vscode,324111,5,3,5.0,3.0
microsoft/vscode,324109,2,2,1.0,1.0
microsoft/vscode,324108,1,1,1.0,1.0
microsoft/vscode,324106,1,1,1.0,1.0
microsoft/vscode,324105,95,92,1.0674157303370786,1.0337078651685394
microsoft/vscode,324104,19,17,1.1875,1.0625
microsoft/vscode,324096,240,192,1.4723926380368098,1.177914110429448
microsoft/vscode,324089,44,37,1.3333333333333333,1.121212121212121
microsoft/vscode,324082,81,70,1.1911764705882353,1.0294117647058822
microsoft/vscode,324077,301,246,1.3870967741935485,1.1336405529953917
microsoft/vscode,324075,40,33,1.5384615384615385,1.2692307692307692
microsoft/vscode,324072,9,9,0.9,0.9
microsoft/vscode,324067,251,195,1.62987012987013,1.2662337662337662
microsoft/vscode,324058,0,0,0.0,0.0
microsoft/vscode,324056,84,66,1.7142857142857142,1.346938775510204
microsoft/vscode,324047,16,13,1.6,1.3
microsoft/vscode,324035,73,59,1.3518518518518519,1.0925925925925926
microsoft/vscode,324031,11,8,2.2,1.6
microsoft/vscode,324027,11,8,2.2,1.6
microsoft/vscode,324025,10,7,2.0,1.4
microsoft/vscode,324017,50,40,1.6129032258064515,1.2903225806451613
microsoft/vscode,324016,4,3,4.0,3.0
microsoft/vscode,324014,66,51,1.5714285714285714,1.2142857142857142
microsoft/vscode,324012,21,16,1.5,1.1428571428571428
microsoft/vscode,324009,6,4,3.0,2.0
microsoft/vscode,323991,15,11,2.142857142857143,1.5714285714285714
microsoft/vscode,323986,91,65,2.275,1.625
microsoft/vscode,323984,410,319,1.64,1.276
microsoft/vscode,323981,143,110,1.7439024390243902,1.3414634146341464
microsoft/vscode,323979,8,7,2.0,1.75
microsoft/vscode,323978,17,16,1.1333333333333333,1.0666666666666667
microsoft/vscode,323977,647,526,1.5046511627906978,1.2232558139534884
microsoft/vscode,323963,31,26,1.2916666666666667,1.0833333333333333
microsoft/vscode,323955,1359,1076,1.5638665132336018,1.238204833141542
microsoft/vscode,323951,5,3,5.0,3.0
microsoft/vscode,323943,19,15,1.7272727272727273,1.3636363636363635
microsoft/vscode,323940,3,3,1.0,1.0
microsoft/vscode,323938,5,5,1.0,1.0
microsoft/vscode,323932,15,11,2.142857142857143,1.5714285714285714
microsoft/vscode,323930,257,192,1.8759124087591241,1.4014598540145986
microsoft/vscode,323923,353,350,1.0172910662824208,1.0086455331412103
microsoft/vscode,323919,1,1,1.0,1.0
microsoft/vscode,323918,90,67,1.8,1.34
microsoft/vscode,323917,258,210,1.4576271186440677,1.1864406779661016
microsoft/vscode,323912,1093,970,0.9981735159817352,0.8858447488584474
microsoft/vscode,323896,230,179,1.6788321167883211,1.3065693430656935
microsoft/vscode,323892,13,10,1.8571428571428572,1.4285714285714286
microsoft/vscode,323889,3,2,1.5,1.0
microsoft/vscode,323887,68,51,2.0,1.5
microsoft/vscode,323886,1,1,1.0,1.0
microsoft/vscode,323882,139,89,3.3095238095238093,2.119047619047619
microsoft/vscode,323875,1,1,1.0,1.0
microsoft/vscode,323852,97,75,1.7017543859649122,1.3157894736842106
microsoft/vscode,323847,25,18,2.272727272727273,1.6363636363636365
microsoft/vscode,323831,25,19,1.7857142857142858,1.3571428571428572
microsoft/vscode,323816,2945,2945,2945.0,2945.0
microsoft/vscode,323803,81,59,1.8409090909090908,1.3409090909090908
microsoft/vscode,323792,169,169,1.0,1.0
microsoft/vscode,323788,73,64,0.8390804597701149,0.735632183908046
microsoft/vscode,323787,43,32,1.8695652173913044,1.391304347826087
microsoft/vscode,323784,184,184,1.0,1.0
microsoft/vscode,323782,329,265,1.46875,1.1830357142857142
microsoft/vscode,323778,47,34,1.9583333333333333,1.4166666666666667
microsoft/vscode,323776,54,48,1.173913043478261,1.0434782608695652
microsoft/vscode,323767,58,50,1.3488372093023255,1.1627906976744187
microsoft/vscode,323759,393,328,1.3551724137931034,1.1310344827586207
microsoft/vscode,323757,169,169,1.0,1.0
microsoft/vscode,323737,21,16,1.9090909090909092,1.4545454545454546
microsoft/vscode,323735,49,37,1.8148148148148149,1.3703703703703705
microsoft/vscode,323729,71,55,1.7317073170731707,1.3414634146341464
microsoft/vscode,323724,26,20,1.8571428571428572,1.4285714285714286
microsoft/vscode,323720,4,4,1.0,1.0
microsoft/vscode,323719,64,53,1.3333333333333333,1.1041666666666667
microsoft/vscode,323718,13,13,0.9285714285714286,0.9285714285714286
microsoft/vscode,323714,3,3,1.0,1.0
microsoft/vscode,323713,27,21,1.8,1.4
microsoft/vscode,323702,2,2,1.0,1.0
microsoft/vscode,323694,10,8,1.6666666666666667,1.3333333333333333
microsoft/vscode,323692,7,5,2.3333333333333335,1.6666666666666667
microsoft/vscode,323688,15,9,5.0,3.0
microsoft/vscode,323684,15,9,5.0,3.0
microsoft/vscode,323677,132,91,2.357142857142857,1.625
microsoft/vscode,323673,22872,21106,1.5454054054054054,1.4260810810810811
microsoft/vscode,323672,7,5,2.3333333333333335,1.6666666666666667
microsoft/vscode,323671,20,15,1.5384615384615385,1.1538461538461537
microsoft/vscode,323670,2,2,1.0,1.0
microsoft/vscode,323669,3,2,3.0,2.0
microsoft/vscode,323665,3,3,0.75,0.75
microsoft/vscode,323663,80,59,1.8181818181818181,1.3409090909090908
microsoft/vscode,323655,71,59,1.42,1.18
microsoft/vscode,323650,1111,810,1.8363636363636364,1.3388429752066116
microsoft/vscode,323649,9,7,1.5,1.1666666666666667
microsoft/vscode,323646,184,176,1.0887573964497042,1.0414201183431953
microsoft/vscode,323638,484,387,1.5365079365079366,1.2285714285714286
microsoft/vscode,323637,79,58,1.975,1.45
microsoft/vscode,323631,14,11,1.2727272727272727,1.0
microsoft/vscode,323627,2,2,1.0,1.0
microsoft/vscode,323621,4,4,1.0,1.0
microsoft/vscode,323619,1,1,1.0,1.0
microsoft/vscode,323614,0,0,0.0,0.0
microsoft/vscode,323612,3,3,1.0,1.0
microsoft/vscode,323610,37,28,1.7619047619047619,1.3333333333333333
microsoft/vscode,323609,170,139,1.452991452991453,1.188034188034188
microsoft/vscode,323601,41,35,1.2058823529411764,1.0294117647058822
microsoft/vscode,323599,133,104,1.6219512195121952,1.2682926829268293
microsoft/vscode,323593,65,50,1.625,1.25
microsoft/vscode,323591,128,90,2.327272727272727,1.6363636363636365
microsoft/vscode,323585,128,90,2.327272727272727,1.6363636363636365
microsoft/vscode,323583,31,26,1.3478260869565217,1.1304347826086956
microsoft/vscode,323582,99,73,2.0625,1.5208333333333333
microsoft/vscode,323563,31,26,1.3478260869565217,1.1304347826086956
microsoft/vscode,323555,12,10,2.0,1.6666666666666667
microsoft/vscode,323544,99,76,1.736842105263158,1.3333333333333333
microsoft/vscode,323536,1,1,1.0,1.0
microsoft/vscode,323520,60,54,1.25,1.125
microsoft/vscode,323519,3,3,1.0,1.0
microsoft/vscode,323518,1,1,1.0,1.0
microsoft/vscode,323517,1,1,1.0,1.0
microsoft/vscode,323516,69,57,1.5333333333333334,1.2666666666666666
microsoft/vscode,323514,99,76,1.736842105263158,1.3333333333333333
microsoft/vscode,323512,51,41,1.5454545454545454,1.2424242424242424
microsoft/vscode,323502,40,30,3.076923076923077,2.3076923076923075
microsoft/vscode,323500,449,355,1.5324232081911262,1.21160409556314
