repo,pr_id,file_count,total_additions,total_deletions,commit_message_length,pr_description_length,reviewer_count,comment_count,has_ai_reviewer,label_count,pr_length,modified_function_count,ast_node_count,cfg_node_count,ast_density,cfg_density,merged
microsoft/vscode,324160,3,164,2,856,1671,1,2,True,0,1726,3,235,189,1.4329268292682926,1.1524390243902438,False
microsoft/vscode,324157,2,58,0,35,42,2,1,True,3,77,2,71,60,1.2241379310344829,1.0344827586206895,True
microsoft/vscode,324143,2,38,178,277,13,1,1,True,0,95,1,59,47,1.5526315789473684,1.236842105263158,False
microsoft/vscode,324135,1,1,1,32,212,4,1,True,0,239,0,1,1,1.0,1.0,False
microsoft/vscode,324132,1,1,1,65,1226,3,2,True,0,1291,0,3,2,3.0,2.0,False
microsoft/vscode,324128,2,5,5,441,2347,4,1,True,2,2421,0,5,5,1.0,1.0,False
microsoft/vscode,324127,8,252,4,503,185,3,1,True,0,234,6,372,305,1.4761904761904765,1.2103174603174602,False
microsoft/vscode,324124,2,79,13,537,2100,2,1,True,0,2150,4,153,114,1.9367088607594936,1.4430379746835442,False
microsoft/vscode,324118,7,120,48,46,344,2,1,True,0,382,2,207,159,1.725,1.325,True
microsoft/vscode,324117,5,118,3,220,541,2,1,True,0,643,1,150,128,1.271186440677966,1.0847457627118644,True
microsoft/vscode,324116,4,202,3,45,344,2,1,True,0,389,8,333,248,1.6485148514851484,1.2277227722772277,True
microsoft/vscode,324114,0,0,0,144,342,1,1,True,0,393,0,0,0,0.0,0.0,False
microsoft/vscode,324111,1,1,1,15,344,2,1,True,0,359,0,5,3,5.0,3.0,True
microsoft/vscode,324109,1,2,1,92,344,2,1,True,0,389,0,2,2,1.0,1.0,True
microsoft/vscode,324108,1,1,1,70,344,2,1,True,0,414,0,1,1,1.0,1.0,True
microsoft/vscode,324106,1,1,1,110,698,2,1,True,0,767,0,1,1,1.0,1.0,False
microsoft/vscode,324105,7,89,74,725,746,3,1,True,0,792,0,95,92,1.0674157303370786,1.0337078651685394,True
microsoft/vscode,324104,3,16,9,58,406,2,1,True,0,429,0,19,17,1.1875,1.0625,True
microsoft/vscode,324096,6,163,12,124,834,1,1,True,1,896,4,240,192,1.4723926380368098,1.177914110429448,False
microsoft/vscode,324089,5,33,2,43,396,2,1,True,0,441,0,44,37,1.3333333333333333,1.121212121212121,True
microsoft/vscode,324082,1,68,78,16,351,1,1,True,0,371,0,81,70,1.1911764705882353,1.0294117647058822,False
microsoft/vscode,324077,18,217,107,48,344,1,1,True,0,380,4,301,246,1.3870967741935485,1.1336405529953917,False
microsoft/vscode,324075,3,26,33,60,344,2,1,True,0,404,0,40,33,1.5384615384615383,1.2692307692307692,True
microsoft/vscode,324072,1,10,0,85,55,3,1,True,0,93,0,9,9,0.9,0.9,True
microsoft/vscode,324067,13,154,4,65,55,2,1,True,0,108,4,251,195,1.62987012987013,1.2662337662337662,True
microsoft/vscode,324058,1,0,12,58,344,2,1,True,0,402,0,0,0,0.0,0.0,True
microsoft/vscode,324056,7,49,37,46,344,2,1,True,0,390,0,84,66,1.7142857142857142,1.346938775510204,False
microsoft/vscode,324047,2,5,1,54,769,1,1,True,1,823,0,16,13,1.6,1.3,False
microsoft/vscode,324035,2,54,4,55,14,3,2,True,4,69,0,73,59,1.351851851851852,1.0925925925925926,True
microsoft/vscode,324031,1,5,1,53,55,2,1,True,0,108,0,11,8,2.2,1.6,True
microsoft/vscode,324027,1,5,1,20,55,2,1,True,0,75,0,11,8,2.2,1.6,True
microsoft/vscode,324025,5,190,32,474,55,1,0,False,0,114,1,10,7,2.0,1.4,False
microsoft/vscode,324017,1,31,6,24,14,2,1,True,1,38,0,50,40,1.6129032258064515,1.2903225806451613,True
microsoft/vscode,324016,2,1,2,76,149,2,1,True,0,216,0,4,3,4.0,3.0,True
microsoft/vscode,324014,2,42,5,113,680,1,2,True,0,725,2,66,51,1.5714285714285714,1.2142857142857142,False
microsoft/vscode,324012,2,14,1,40,538,1,1,True,0,578,0,21,16,1.5,1.1428571428571428,False
microsoft/vscode,324009,2,2,2,48,344,2,1,True,0,392,0,6,4,3.0,2.0,True
microsoft/vscode,323991,2,7,9,45,344,2,1,True,0,393,0,15,11,2.142857142857143,1.5714285714285714,True
