feature,importance
label_count,0.13958455440626055
pr_description_length,0.12706989894443188
pr_length,0.11287034120394202
commit_message_length,0.08453924184576016
cfg_density,0.07867905644956982
reviewer_count,0.07432345536226477
has_ai_reviewer,0.06441893960946314
ast_density,0.06008764850072164
total_deletions,0.05670478200885886
ast_node_count,0.04181777953243396
total_additions,0.04181056180216193
cfg_node_count,0.04148849296872001
comment_count,0.029723669962006313
file_count,0.025874161005975095
modified_function_count,0.021007416397429826
