feature,importance
reviewer_count,0.24394764828324544
has_ai_reviewer,0.0944935512225299
pr_length,0.07790504907237392
pr_description_length,0.07558509704323162
comment_count,0.07011434285436778
commit_message_length,0.06532132516828193
label_count,0.05205053118739413
ast_density,0.05187066384327887
cfg_density,0.04867180495010634
cfg_node_count,0.0420510733122734
total_deletions,0.041865289953551585
total_additions,0.03965783189085861
ast_node_count,0.039623546137167294
file_count,0.030625131414423287
modified_function_count,0.026217113666915967
