feature,importance
label_count,0.14102622988690938
pr_description_length,0.12600573455247527
pr_length,0.1204718805666976
commit_message_length,0.08228662334001408
cfg_density,0.07518294704108276
reviewer_count,0.07227354220227897
has_ai_reviewer,0.0666987710021101
ast_density,0.061396813414301914
total_deletions,0.05639444329103974
total_additions,0.04355315543757797
cfg_node_count,0.03966789046433145
ast_node_count,0.037790552022387514
comment_count,0.029999424570828527
file_count,0.02723350091745685
modified_function_count,0.020018491290507853
