repo,pr_id,file_count,total_additions,total_deletions,commit_message_length,pr_description_length,reviewer_count,comment_count,has_ai_reviewer,label_count,pr_length,modified_function_count,ast_node_count,cfg_node_count,ast_density,cfg_density,merged
microsoft/vscode,324159,28,795,70,1530,1599,1,0,False,0,1687,13,1110,910,1.394472361809045,1.14321608040201,False
microsoft/vscode,324144,1,1,0,88,0,2,1,True,0,28,0,5,3,5.0,3.0,True
microsoft/vscode,324140,3,115,3,188,406,3,1,True,0,437,0,171,141,1.4869565217391305,1.2260869565217392,True
microsoft/vscode,324131,15,1758,3,3903,2155,1,1,True,0,2197,42,2575,2076,1.4305555555555556,1.153333333333333,False
microsoft/vscode,324129,6,332,13,1102,2233,3,1,True,0,2302,4,478,389,1.4397590361445782,1.1716867469879515,True
microsoft/vscode,324125,1,1,1,134,149,2,1,True,0,213,0,1,1,1.0,1.0,True
microsoft/vscode,324121,2,44,0,67,525,2,1,True,0,595,0,60,50,1.3636363636363635,1.1363636363636365,True
microsoft/vscode,324120,8,388,98,1132,2421,2,1,True,0,2482,8,636,492,1.6391752577319587,1.268041237113402,True
microsoft/vscode,324103,8,242,9,737,1651,3,1,True,0,1718,3,314,262,1.2975206611570247,1.0826446280991735,True
microsoft/vscode,324099,27,669,386,1547,1175,2,4,True,0,1239,13,942,781,1.4080717488789238,1.1674140508221225,False
microsoft/vscode,324095,2,100,7,1489,2999,3,1,True,0,3070,0,143,115,1.43,1.15,True
microsoft/vscode,324092,18,625,15,4115,560,3,1,True,0,619,9,870,710,1.392,1.136,True
microsoft/vscode,324088,5,75,9,324,458,2,1,True,0,499,0,96,80,1.28,1.0666666666666669,True
microsoft/vscode,324087,5,91,13,500,919,2,1,True,0,965,4,145,113,1.5934065934065933,1.2417582417582418,True
microsoft/vscode,324084,30,502,55,2916,167,1,1,True,0,202,7,808,634,1.5968379446640315,1.2529644268774704,False
microsoft/vscode,324074,3,26,4,326,1352,2,1,True,0,1418,0,43,34,1.6538461538461535,1.3076923076923077,True
microsoft/vscode,324070,1,18,8,441,2038,2,1,True,0,2092,2,53,38,2.208333333333333,1.5833333333333333,False
microsoft/vscode,324069,11,73,44,145,0,3,1,True,0,47,0,94,79,1.2876712328767124,1.082191780821918,True
microsoft/vscode,324068,5,304,33,1503,2229,2,1,True,0,2293,12,452,363,1.486842105263158,1.194078947368421,True
microsoft/vscode,324064,3,95,1,1218,1852,1,1,True,0,1921,2,122,96,1.4523809523809523,1.1428571428571428,False
microsoft/vscode,324055,2,9,0,395,1182,2,1,True,0,1240,0,9,8,1.0,0.8888888888888888,True
microsoft/vscode,324053,2,11,1,503,1685,2,1,True,0,1740,0,22,16,2.0,1.4545454545454546,True
microsoft/vscode,324045,6,211,63,1383,1978,3,1,True,0,2029,1,229,203,1.085308056872038,0.962085308056872,False
microsoft/vscode,324044,7,99,5,104,80,1,1,True,1,138,1,128,106,1.292929292929293,1.0707070707070707,False
microsoft/vscode,324040,4,27,5,421,1219,2,1,True,0,1278,0,35,30,1.2962962962962965,1.1111111111111112,True
microsoft/vscode,324037,3,33,1,31,232,2,1,True,0,274,0,43,37,1.303030303030303,1.121212121212121,True
microsoft/vscode,324036,2,25,1,969,344,2,1,True,0,382,0,23,23,0.92,0.92,True
microsoft/vscode,324034,4,113,33,605,1257,2,1,True,0,1309,2,174,136,1.5398230088495577,1.2035398230088497,True
microsoft/vscode,324030,4,131,104,345,55,3,1,True,0,106,4,206,165,1.5725190839694656,1.2595419847328244,True
microsoft/vscode,324028,1,16,1,634,1383,1,1,True,0,1435,0,21,18,1.3125,1.125,False
microsoft/vscode,324026,2,98,19,267,1198,2,1,True,0,1233,5,167,123,1.7040816326530612,1.2551020408163265,True
microsoft/vscode,324023,3,19,19,423,1306,2,1,True,0,1371,0,39,29,2.0526315789473686,1.5263157894736843,True
microsoft/vscode,324022,6,139,39,1090,3470,2,1,True,0,3538,3,211,166,1.5179856115107917,1.1942446043165469,False
microsoft/vscode,324021,11,312,46,1247,2971,3,1,True,0,3056,3,486,389,1.5576923076923077,1.2467948717948718,True
microsoft/vscode,324019,1,7,7,375,194,1,1,True,0,242,0,15,11,2.142857142857143,1.5714285714285714,False
microsoft/vscode,324013,5,126,75,28,0,2,1,True,0,26,0,125,116,0.992063492063492,0.9206349206349206,True
microsoft/vscode,323980,3,57,4,963,2541,2,2,True,0,2610,1,87,66,1.5263157894736843,1.1578947368421053,False
microsoft/vscode,323972,30,843,90,9824,2882,3,1,True,0,2950,18,3109,2494,1.4762583095916428,1.1842355175688508,True
microsoft/vscode,323968,30,1252,236,3356,2012,2,1,True,0,2077,34,1989,1568,1.5835987261146496,1.248407643312102,True
microsoft/vscode,323967,12,397,440,2232,1645,3,1,True,0,1731,8,1045,716,2.632241813602015,1.8035264483627205,True
microsoft/vscode,323965,13,20,51,98,284,2,1,True,0,304,0,48,38,2.4,1.9,True
microsoft/vscode,323960,0,0,0,522,2681,3,1,True,0,2754,0,1547,1291,1.3510917030567686,1.1275109170305675,True
microsoft/vscode,323959,2,3,19,291,301,2,1,True,0,335,0,8,6,2.6666666666666665,2.0,True
microsoft/vscode,323958,4,36,42,737,145,1,1,True,0,179,1,56,46,1.5555555555555556,1.2777777777777777,False
microsoft/vscode,323957,9,7,30,51,173,2,1,True,0,221,0,22,18,3.142857142857143,2.571428571428572,False
microsoft/vscode,323953,2,30,6,271,681,2,1,True,0,720,1,61,45,2.033333333333333,1.5,True
microsoft/vscode,323950,13,338,361,3312,2300,3,2,True,0,2377,8,624,475,1.8461538461538465,1.4053254437869822,True
microsoft/vscode,323948,8,1002,251,6673,2782,3,1,True,0,2852,9,1317,1114,1.31437125748503,1.1117764471057885,True
microsoft/vscode,323939,2,2796,297,1225,19771,1,1,True,2,19864,0,2,2,2.0,2.0,False
microsoft/vscode,323935,8,47,25,998,2395,3,1,True,0,2471,0,68,57,1.446808510638298,1.2127659574468086,True
microsoft/vscode,323931,5,268,30,322,344,2,1,True,0,446,8,489,368,1.8246268656716416,1.373134328358209,True
microsoft/vscode,323926,10,54,0,185,483,2,1,True,0,525,0,75,62,1.3888888888888888,1.148148148148148,True
microsoft/vscode,323922,10,251,11,73,1536,3,1,True,0,1599,3,354,291,1.410358565737052,1.159362549800797,True
microsoft/vscode,323921,1,2,0,690,2011,2,1,True,0,2070,0,2,2,1.0,1.0,True
microsoft/vscode,323916,4,656,87,118,179,2,1,True,0,232,5,1067,831,1.6265243902439024,1.266768292682927,True
microsoft/vscode,323914,30,3497,127,3431,4008,2,4,True,0,4095,56,6039,4925,1.4172729406242666,1.1558319643276227,True
microsoft/vscode,323911,4,12,12,43,344,2,1,True,0,387,0,12,12,1.0,1.0,True
microsoft/vscode,323907,8,216,54,100,526,4,2,True,0,590,2,394,296,1.8240740740740744,1.3703703703703705,True
microsoft/vscode,323903,7,6619,2866,124,1441,0,0,False,0,1497,0,9,8,1.8,1.6,False
microsoft/vscode,323902,4,4,4,485,269,2,1,True,0,307,1,6,5,1.5,1.25,True
microsoft/vscode,323901,4,4,4,130,269,2,1,True,0,307,0,6,5,1.5,1.25,False
microsoft/vscode,323900,3,22,3,876,1486,4,1,True,0,1539,0,31,25,1.4090909090909092,1.1363636363636365,True
microsoft/vscode,323897,4,12,27,98,344,1,1,True,0,393,0,12,12,1.0,1.0,False
microsoft/vscode,323895,4,82,97,81,344,1,1,True,0,425,0,82,82,1.0,1.0,False
microsoft/vscode,323894,1,58,1,329,344,3,1,True,0,413,1,79,65,1.362068965517241,1.1206896551724137,True
microsoft/vscode,323885,2,2,5,725,941,2,1,True,0,999,0,6,4,3.0,2.0,True
microsoft/vscode,323881,1,22,1,896,1534,2,1,True,0,1601,0,45,33,2.0454545454545454,1.5,True
microsoft/vscode,323871,20,983,12,3427,7889,3,1,True,0,7932,20,1346,1085,1.3692777212614446,1.103763987792472,True
microsoft/vscode,323868,1,48,8,914,2018,2,1,True,0,2075,0,78,61,1.625,1.2708333333333333,True
microsoft/vscode,323867,1,1,1,99,176,2,1,True,0,205,0,5,3,5.0,3.0,True
microsoft/vscode,323862,7,128,124,477,594,3,1,True,0,691,0,128,128,1.0,1.0,True
microsoft/vscode,323857,5,185,6,2187,1561,4,1,True,0,1625,4,262,216,1.4162162162162162,1.1675675675675676,True
microsoft/vscode,323856,2,130,6,1682,3806,2,1,True,0,3875,2,207,162,1.5801526717557253,1.236641221374046,False
microsoft/vscode,323855,21,1444,155,1859,2102,3,1,True,0,2164,20,2120,1714,1.4681440443213296,1.1869806094182829,True
microsoft/vscode,323853,6,226,8,1526,1831,2,1,True,0,1895,6,343,275,1.5176991150442478,1.2168141592920354,True
microsoft/vscode,323850,1,11,1,811,2011,2,1,True,0,2074,0,11,11,1.0,1.0,False
